date,TP5Y,TP10Y,TP15Y,TP25Y
2003-12-31,-512.9165861290548,-577.2618202623287,-565.758445986127,-580.7496000206603
2004-03-31,-513.2242848905462,-577.5185732720432,-565.9829260677602,-580.8364543372276
2004-06-30,-512.7566615184868,-577.2060814693968,-565.7679478053188,-580.7520395435645
2004-09-30,-513.1142524333001,-577.5201438876028,-566.1840581411502,-581.0487173786025
2004-12-31,-513.3792249355982,-577.8833749529458,-566.6112356818837,-581.3819635805601
2005-03-31,-513.3538226937146,-577.9259129891336,-566.6439866798665,-581.2972064432154
2005-06-30,-513.7127651431368,-578.3968732567982,-567.1559880974414,-581.6700615751414
2005-09-30,-513.6167228048996,-578.3698560806462,-567.1868157033233,-582.0427633041551
2005-12-31,-513.4419068292972,-578.3330697979386,-567.1637787572586,-582.1135273056746
2006-03-31,-513.0408526016923,-577.880621197304,-566.6972428725976,-581.660193131071
2006-06-30,-512.8253265932974,-577.6515020304624,-566.4290809936357,-581.3843085210156
2006-09-30,-513.0778189805511,-578.0104177256354,-566.9116078550771,-581.8270414714012
2006-12-31,-512.8703533841259,-577.7966405843589,-566.6647182520567,-581.675179857283
2007-03-31,-512.8316057497876,-577.6930968189291,-566.4918219582552,-581.452911357341
2007-06-30,-512.397018130655,-577.2506877034886,-565.9871651919764,-581.0410427107834
2007-09-30,-512.6726623717595,-577.3728964637959,-565.9818474015352,-581.1796898121936
2007-12-31,-512.7002743586581,-577.3480870636423,-566.0717274463024,-581.1032481385727
2008-03-31,-512.9764342083431,-577.6361058459847,-566.124991781512,-581.1350279757177
2008-06-30,-512.265183665073,-577.0696453516363,-565.6353293471059,-580.8000895744923
2008-09-30,-512.6822539073814,-577.3761004255153,-565.9399756771913,-580.6421666320227
2008-12-31,-513.4823790267322,-578.0963081550314,-566.8543654028138,-581.3349483380813
2009-03-31,-513.3903398820692,-577.8006587818252,-566.428139080745,-580.884937470746
2009-06-30,-513.2851981773907,-577.6849406438812,-566.2483514260383,-580.7667900855092
2009-09-30,-513.4750174397682,-577.8521921254472,-566.5723543667895,-581.0608921816831
2009-12-31,-513.4635390777765,-577.7744022061564,-566.457162639814,-580.8209686207364
2010-03-31,-513.6644503482617,-577.9444132805738,-566.5932229421147,-581.3878080234119
2010-06-30,-514.0779039431818,-578.2818257207389,-567.0009072146954,-581.7225635469172
2010-09-30,-514.1682730449716,-578.7262348513615,-567.565458260686,-582.1340141170732
2010-12-31,-513.7535252810732,-577.991152594705,-566.8456634547244,-581.3868787556291
2011-03-31,-513.2090815320881,-577.7531127354539,-566.5596621772596,-581.1783780550693
2011-06-30,-513.5253152971294,-577.9570965440121,-566.5848084846747,-581.3251185242264
2011-09-30,-514.1083376047491,-578.7719901574844,-567.3818990164857,-581.801660374586
2011-12-31,-513.9486472392507,-578.1775634693188,-566.9458845148895,-581.6232862410895
2012-03-31,-514.109541094129,-578.4367046850174,-567.1243392844465,-581.561256704165
2012-06-30,-514.3190028540632,-578.5857674772024,-567.2880314542517,-581.5965451617795
2012-09-30,-514.6801259766943,-579.1164261433763,-567.6847646371054,-582.2799549990011
