date,TP5Y,TP10Y,TP15Y,TP25Y
1994-12-31,-3089.220823228755,-1072.379987054079,559459.4068655054,5940123633.565132
1995-03-31,-2907.7805136843967,-1840.5551919178702,559359.5238815723,5939729612.269276
1995-06-30,-2625.082151612612,-3005.798570073562,559262.3820450326,5939128147.71527
1995-09-30,-2855.563871781301,-1983.593144485562,558649.3682387437,5939682137.456382
1995-12-31,-2822.397719516437,-2047.8489993108901,558004.1491904573,5939672839.805939
1996-03-31,-2838.230156872108,-2070.6281019873763,558641.5202479748,5939638001.185831
1996-06-30,-2902.1889987837726,-1776.5422016737793,558494.9222156655,5939795648.8302965
1996-09-30,-2899.532801746619,-1727.3753917852566,557965.0020141056,5939840952.91239
1996-12-31,-3533.0841435718376,1193.8985543875294,555888.7977791312,5941432850.213015
1997-03-31,-3554.663548211992,1254.490082437685,556127.2735541124,5941455464.046679
1997-06-30,-3550.7248475102942,1290.9377359981138,555726.0737344044,5941489057.347338
1997-09-30,-3557.8189909163043,1363.3801921632112,555514.5346132534,5941533786.127964
1997-12-31,-3564.6117707889466,1432.122614822162,555257.7761028314,5941578570.771257
1998-03-31,-3565.9647639720597,1526.4795297248697,554592.5764324126,5941651770.777502
1998-06-30,-3564.8479578522038,1550.0795142597274,554378.7656737065,5941671814.084487
1998-09-30,-3547.671193808168,1646.9018001972331,553085.8656496699,5941769379.505157
1998-12-31,-3554.2323164435475,1681.7328858282708,552965.5167218137,5941792163.666288
1999-03-31,-3559.2227161572564,1665.9447970761541,553193.2997333873,5941775973.520485
1999-06-30,-3554.089511176869,1553.7092535133927,553888.0027246688,5941692321.151156
1999-09-30,-3554.5829937879757,1458.5843925321076,554678.1414995717,5941613770.712113
1999-12-31,-3577.0624041210804,1485.8971027673,555233.4499640132,5941607331.51058
2000-03-31,-3570.3320579976753,1512.9358770236909,554890.2739034893,5941633495.293635
2000-06-30,-3569.8474012184406,1520.7239785079469,554909.1439296461,5941636291.839894
2000-09-30,-3572.822711934903,1526.996959788521,554974.877244895,5941637032.5214615
2000-12-31,-3571.702834050605,1590.513417791012,554386.2822629645,5941691882.333672
2001-03-31,-3571.0582716821564,1601.57691312234,554234.2152492922,5941703486.731474
2001-06-30,-3564.420988789521,1493.7701813275542,554827.4456560098,5941625953.567979
2001-09-30,-3564.075591936848,1539.0904605314365,554354.0270188001,5941667464.411345
2001-12-31,-3572.1176540140996,1542.2656307851782,554597.3227561371,5941660174.140698
2002-03-31,-3571.200513659913,1497.670236442079,554994.5707665883,5941622026.685305
2002-06-30,-3570.5772168064327,1549.007438769574,554546.6746207023,5941665239.965671
2002-09-30,-3568.347884518375,1666.33656141773,553501.8832962023,5941764740.739351
2002-12-31,-3568.5487437510064,1684.6770564150058,553314.0099519967,5941781429.8252
2003-03-31,-3553.233677087053,1608.9556209349428,553331.9611838979,5941741981.709822
2003-06-30,-3547.8515788614195,1635.1417342324205,552942.5219289303,5941769893.14024
2003-09-30,-3554.109952138454,1626.880748919513,553205.5365321669,5941755970.588478
2003-12-31,-3558.655899473054,1600.3791420669775,553577.9041058477,5941728473.642665
2004-03-31,-3555.4619746500252,1642.4446872859012,553113.6407090537,5941767541.547943
2004-06-30,-3564.450352536466,1616.7840881258417,553646.8102052903,5941734430.7206
2004-09-30,-3563.04274279473,1675.278519419945,553165.956996384,5941782302.988008
2004-12-31,-3566.8215020075318,1763.2976527390429,552637.7095950448,5941847119.519992
2005-03-31,-3569.279413068753,1786.9926725732346,552538.7703667746,5941863010.816317
2005-06-30,-3569.9738115546497,1888.1016981695243,551771.5467127002,5941943612.799595
2005-09-30,-3572.883673249757,1897.8253457013607,551838.7498024462,5941945952.556337
2005-12-31,-3575.8147030937844,1891.9515140373903,552052.0987563817,5941934663.90538
2006-03-31,-3575.961533096913,1801.218504621651,552782.8105706259,5941860688.538059
2006-06-30,-3572.412924229823,1725.1368577001294,553268.5163816371,5941803338.960684
2006-09-30,-3574.448841707917,1810.1035273445466,552729.8778139041,5941866857.779061
2006-12-31,-3574.666804582931,1768.0232663811232,553095.7590814307,5941831420.617063
2007-03-31,-3571.1130474514853,1732.0489449052382,553271.652234501,5941806234.811674
2007-06-30,-3570.877448663182,1635.747876051018,554031.1234950101,5941728311.406723
2007-09-30,-3570.4692670655368,1667.665093788201,553716.914648138,5941756696.329263
2007-12-31,-3568.102464804795,1659.555337659469,553700.1148338127,5941753117.833228
2008-03-31,-3557.4354719916096,1674.564978603555,553185.577612149,5941780062.68989
2008-06-30,-3566.088397918074,1590.9774445194366,554230.104739216,5941697770.975643
2008-09-30,-3553.6690426963505,1634.9871240218274,553350.3086734347,5941753638.776807
2008-12-31,-3547.5233812468828,1809.0572069392379,551625.6559379463,5941908165.647386
2009-03-31,-3542.668785233506,1750.4562681406255,551787.765628253,5941872650.095153
2009-06-30,-3542.173599105205,1685.402572962574,552263.8274253086,5941821491.651304
2009-09-30,-3553.9506032999534,1765.8031691871156,552019.4811528708,5941872198.445751
2009-12-31,-3551.9007964727116,1731.7766913869775,552206.6334361405,5941847705.751127
2010-03-31,-3556.0782922104395,1802.2426150926349,551771.3562222475,5941900379.505261
2010-06-30,-3564.924203191155,1944.810086061868,550929.9124306295,5942005283.149933
2010-09-30,-3565.5798218512055,2010.9116019717262,550537.1008063444,5942053445.110035
2010-12-31,-3552.6066393202746,1843.8214173948704,551351.7857681768,5941937143.7318325
2011-03-31,-3564.2621469499195,1787.973489814471,552243.0864617272,5941875162.213843
2011-06-30,-3561.6838306004624,1830.9023690376675,551825.619436303,5941912747.771608
2011-09-30,-3561.8952242003766,2058.3990850164755,550023.5862683121,5942097079.580658
2011-12-31,-3563.5633405474814,2089.2410497395476,549784.7320588665,5942122081.691995
2012-03-31,-3562.3811792006877,2078.0317685009995,549834.4140152958,5942114465.218636
2012-06-30,-3561.5229987048083,2124.9917066273683,549461.2872821316,5942152371.431836
2012-09-30,-3563.7869888959726,2173.336548038682,549169.1724330608,5942188108.588057
2012-12-31,-3561.714360756355,2182.1772762254623,549025.1237321127,5942198011.235828
2013-03-31,-3559.341494320507,2174.3835437450743,549009.3272583104,5942194550.394777
2013-06-30,-3560.898232136155,2102.7890360394886,549612.8138620112,5942135285.0055275
2013-09-30,-3557.727026909716,2074.037645191758,549719.717658952,5942116538.14222
2013-12-31,-3558.016270230578,2037.6582713160687,550002.3661241133,5942087368.360148
2014-03-31,-3558.188590894877,2119.0080924851313,549411.8696091523,5942150999.715297
2014-06-30,-3562.699702035789,2187.8927831858286,549018.3378706431,5942201229.533265
2014-09-30,-3565.1570289775636,2269.9007361984127,548502.8250620074,5942262420.3159895
2014-12-31,-3571.209081237177,2381.9938383251215,547891.7162101567,5942342636.348106
2015-03-31,-3584.31592687045,2517.9226533397427,547367.4190870901,5942431821.800271
2015-06-30,-3569.4143594693714,2328.1102622113235,548229.2292540818,5942302417.883125
2015-09-30,-3575.7203094388024,2392.7466613129495,547944.3618976859,5942346341.159554
2015-12-31,-3569.0645321791058,2344.4630060477207,548132.8851368643,5942314246.250575
2016-03-31,-3578.4618567599396,2479.692458132268,547455.6923483572,5942408888.18792
2016-06-30,-3585.151451153307,2570.355141192035,546995.2659809989,5942472591.558209
2016-09-30,-3583.778357249112,2563.2953839725815,547005.7808537043,5942468540.521126
2016-12-31,-3577.597104972875,2472.5486811116502,547492.4016852241,5942403767.418534
2017-03-31,-3578.1005339003264,2452.937956447606,547669.5556435229,5942387043.280729
2017-06-30,-3574.692655756029,2419.7841805532044,547738.3998642274,5942367705.291098
2017-09-30,-3577.3350405364595,2427.701433514024,547849.1331258855,5942367310.192779
2017-12-31,-3574.8096326172117,2430.999432214297,547659.0707754825,5942376408.25909
2018-03-31,-3578.7921862094286,2429.5582177556134,547805.1437029353,5942370294.039416
2018-06-30,-3581.57942738719,2465.9693171461818,547672.6489551214,5942393761.042614
2018-09-30,-3580.0851270555063,2445.061859950748,547734.4406137394,5942380874.773832
2018-12-31,-3582.881277054927,2488.2102549184706,547543.3924016617,5942410024.334155
2019-03-31,-3586.842063224266,2553.180770563574,547197.8911353415,5942456160.591914
2019-06-30,-3589.947908380455,2587.1433131686445,547028.5546189684,5942480031.320028
2019-09-30,-3592.132056692987,2606.013053891757,546947.1605562593,5942492844.547551
2019-12-31,-3590.1195530869513,2576.905776805819,547119.9208632858,5942471329.890123
2020-03-31,-3592.132056692987,2606.013053891757,546947.1605562593,5942492844.547551
2020-06-30,-3592.132056692987,2606.013053891757,546947.1605562593,5942492844.547551
2020-09-30,-3592.132056692987,2606.013053891757,546947.1605562593,5942492844.547551
2020-12-31,-3592.132056692987,2606.013053891757,546947.1605562593,5942492844.547551
2021-03-31,-3590.2833086186765,2598.712655808092,546945.4911184129,5942489104.764916
2021-06-30,-3590.6067136036754,2589.664300556444,547031.4286848173,5942481227.132615
2021-09-30,-3591.006842858721,2589.9916804967297,547042.4393674294,5942480990.154006
2021-12-31,-3591.5832392939137,2598.807179786958,546986.5651854615,5942487653.57223
2022-03-31,-3587.8768029058383,2484.272637508256,547713.6643315163,5942401800.488806
2022-06-30,-3581.121429918763,2274.9581439659732,549089.6181589598,5942242969.533656
2022-09-30,-3585.022634806998,2160.343043297003,550201.2485887515,5942142182.966309
2022-12-31,-3586.7272076529134,2083.9042083127265,550960.4464846989,5942074048.101791
2023-03-31,-3587.2479973392246,2130.4623339992067,550657.5846859784,5942109052.441252
2023-06-30,-3590.1393081296724,2129.613801265356,550841.5739903945,5942101385.4735985
2023-09-30,-3583.209310315105,2009.7319533258158,551497.630125572,5942015395.3061695
2023-12-31,-3584.54152775817,2166.360212077745,550302.6115328611,5942140598.644859
2024-03-31,-3585.779251633095,2128.587784469103,550667.8818982049,5942107429.053239
2024-06-30,-3584.0175101289765,2075.800203459708,550983.0522036531,5942068725.596805
2024-09-30,-3579.8105290405856,2123.7177365467437,550400.826293283,5942115344.953052
