date,TP5Y,TP10Y,TP15Y,TP25Y
1999-06-30,82795.7550769609,781979326583.1257,2.0129645504226898e+19,1.801333090866451e+34
1999-09-30,81166.3911668624,781974250101.3691,2.0129645483195236e+19,1.801333090866451e+34
1999-12-31,82339.24540425031,781977895678.4854,2.0129645498298712e+19,1.801333090866451e+34
2000-03-31,82516.55459924309,781978448987.2057,2.0129645500591047e+19,1.801333090866451e+34
2000-06-30,82919.96869432663,781979706902.1027,2.012964550580254e+19,1.801333090866451e+34
2000-09-30,82688.76134308541,781978988850.8168,2.0129645502827684e+19,1.801333090866451e+34
2000-12-31,84130.14370816498,781983475977.553,2.0129645521417662e+19,1.8013330908664515e+34
2001-03-31,84033.16976373369,781983178154.397,2.01296455201838e+19,1.8013330908664515e+34
2001-06-30,82066.55522060869,781977056548.4691,2.0129645494822236e+19,1.801333090866451e+34
2001-09-30,83618.73200094102,781981891057.446,2.012964551485141e+19,1.8013330908664515e+34
2001-12-31,83425.03990877117,781981286406.3811,2.0129645512346366e+19,1.8013330908664515e+34
2002-03-31,82286.92068215711,781977743866.791,2.012964549766977e+19,1.801333090866451e+34
2002-06-30,83477.75026728628,781981451528.3467,2.012964551303046e+19,1.8013330908664515e+34
2002-09-30,85732.62647594853,781988474086.8276,2.0129645542124634e+19,1.8013330908664515e+34
2002-12-31,85584.43930627906,781988013368.1677,2.0129645540215894e+19,1.8013330908664515e+34
2003-03-31,85682.35137009498,781988321553.6807,2.01296455414927e+19,1.8013330908664515e+34
2003-06-30,85999.09646283979,781989307397.5887,2.012964554557701e+19,1.8013330908664515e+34
2003-09-30,84895.98865062254,781985870934.8435,2.0129645531339882e+19,1.8013330908664515e+34
2003-12-31,84300.50147548216,781984015772.1677,2.012964552365402e+19,1.8013330908664515e+34
2004-03-31,84356.78944827963,781984189611.157,2.0129645524374225e+19,1.8013330908664515e+34
2004-06-30,83166.36413629517,781980482767.2432,2.012964550901692e+19,1.801333090866451e+34
2004-09-30,84151.48432594638,781983548638.6617,2.0129645521718702e+19,1.8013330908664515e+34
2004-12-31,85105.35028685837,781986518066.7627,2.012964553402092e+19,1.8013330908664515e+34
2005-03-31,84624.64241165938,781985020910.7267,2.012964552781826e+19,1.8013330908664515e+34
2005-06-30,86303.72252755689,781990249294.9482,2.012964554947924e+19,1.8013330908664515e+34
2005-09-30,85916.4124967246,781989043267.2935,2.012964554448272e+19,1.8013330908664515e+34
2005-12-31,86655.99281793015,781991343413.0652,2.0129645554012127e+19,1.8013330908664515e+34
2006-03-31,85783.97915759907,781988628248.417,2.012964554276331e+19,1.8013330908664515e+34
2006-06-30,84680.45476914909,781985193004.5133,2.012964552853124e+19,1.8013330908664515e+34
2006-09-30,85276.82382414205,781987047295.9269,2.012964553621349e+19,1.8013330908664515e+34
2006-12-31,84536.03949050806,781984740118.8546,2.0129645526654947e+19,1.8013330908664515e+34
2007-03-31,83773.34281016579,781982366091.4706,2.012964551681945e+19,1.8013330908664515e+34
2007-06-30,82300.97871899401,781977781331.9489,2.012964549782498e+19,1.801333090866451e+34
2007-09-30,83660.05551230366,781982016013.5051,2.0129645515369095e+19,1.8013330908664515e+34
2007-12-31,85113.06723495257,781986541757.7211,2.0129645534119068e+19,1.8013330908664515e+34
2008-03-31,85367.1078947717,781987338091.7998,2.0129645537418252e+19,1.8013330908664515e+34
2008-06-30,82881.25892026477,781979592836.1914,2.012964550532997e+19,1.801333090866451e+34
2008-09-30,84942.75811072956,781986016742.8259,2.0129645531943956e+19,1.8013330908664515e+34
2008-12-31,89537.29028118802,782000329972.8625,2.0129645591243096e+19,1.8013330908664515e+34
2009-03-31,89196.66059573957,781999272160.5511,2.0129645586860618e+19,1.8013330908664515e+34
2009-06-30,87818.52307684327,781994982297.1671,2.0129645569087894e+19,1.8013330908664515e+34
2009-09-30,88894.16455711873,781998329632.7389,2.0129645582955766e+19,1.8013330908664515e+34
2009-12-31,87324.6070412113,781993446486.1486,2.012964556272509e+19,1.8013330908664515e+34
2010-03-31,87395.06950058871,781993666730.662,2.0129645563637555e+19,1.8013330908664515e+34
2010-06-30,88972.79433927295,781998578120.9187,2.0129645583985246e+19,1.8013330908664515e+34
2010-09-30,90266.66884557695,782002604741.5277,2.012964560066737e+19,1.8013330908664515e+34
2010-12-31,88916.71847043432,781998402950.9388,2.0129645583259525e+19,1.8013330908664515e+34
2011-03-31,88078.94892776784,781995794648.5474,2.012964557245343e+19,1.8013330908664515e+34
2011-06-30,88948.36153108494,781998504965.3657,2.0129645583682167e+19,1.8013330908664515e+34
2011-09-30,92403.56126926643,782009255176.9517,2.0129645628219847e+19,1.8013330908664515e+34
2011-12-31,93933.25615678167,782014014634.2267,2.012964564793808e+19,1.8013330908664515e+34
2012-03-31,92980.40706576733,782011051882.6709,2.0129645635663524e+19,1.8013330908664515e+34
2012-06-30,94575.46419360493,782016014713.4442,2.012964565622432e+19,1.8013330908664515e+34
2012-09-30,94834.35286252336,782016820496.4098,2.0129645659562648e+19,1.8013330908664515e+34
2012-12-31,94463.86264645263,782015666703.5303,2.012964565478253e+19,1.8013330908664515e+34
2013-03-31,94448.45262324486,782015620408.2,2.0129645654590734e+19,1.8013330908664515e+34
2013-06-30,92418.89982376646,782009302708.9465,2.012964562841677e+19,1.8013330908664515e+34
2013-09-30,92017.27665071592,782008051882.0978,2.012964562323464e+19,1.8013330908664515e+34
2013-12-31,91022.2211267753,782004954330.1569,2.0129645610401608e+19,1.8013330908664515e+34
2014-03-31,91464.26005111159,782006327950.692,2.0129645616092463e+19,1.8013330908664515e+34
2014-06-30,91664.87983153954,782006950979.3137,2.0129645618673648e+19,1.8013330908664515e+34
2014-09-30,92868.85536555765,782010696521.7351,2.012964563419127e+19,1.8013330908664515e+34
2014-12-31,95181.26905121205,782017893615.8029,2.0129645664008536e+19,1.8013330908664515e+34
2015-03-31,95682.31192849742,782019451182.1716,2.012964567046147e+19,1.8013330908664515e+34
2015-06-30,94132.75140363038,782014629563.3695,2.01296456504857e+19,1.8013330908664515e+34
2015-09-30,95168.91727631075,782017854610.7549,2.0129645663846932e+19,1.8013330908664515e+34
2015-12-31,94527.63559235554,782015859414.1149,2.012964565558092e+19,1.8013330908664515e+34
2016-03-31,95960.77779361837,782020320034.6812,2.0129645674061087e+19,1.8013330908664515e+34
2016-06-30,98028.39428272584,782026754379.3812,2.0129645700718313e+19,1.8013330908664515e+34
2016-09-30,98789.17101903,782029121221.2917,2.012964571052404e+19,1.8013330908664515e+34
2016-12-31,97327.76415984824,782024574899.6981,2.0129645691688817e+19,1.8013330908664515e+34
2017-03-31,97600.354964184,782025421755.4093,2.0129645695197303e+19,1.8013330908664515e+34
2017-06-30,97080.64628670605,782023803897.2147,2.0129645688494584e+19,1.8013330908664515e+34
2017-09-30,96713.07269253737,782022659848.106,2.012964568375484e+19,1.8013330908664515e+34
2017-12-31,97273.60894807852,782024403426.703,2.012964569097841e+19,1.8013330908664515e+34
2018-03-31,96847.65770614916,782023074096.6925,2.0129645685471048e+19,1.8013330908664515e+34
2018-06-30,96935.64670856128,782023348845.0581,2.0129645686609318e+19,1.8013330908664515e+34
2018-09-30,96247.88324888241,782021208385.2054,2.012964567774148e+19,1.8013330908664515e+34
2018-12-31,96988.61207394525,782023514498.0897,2.012964568729561e+19,1.8013330908664515e+34
2019-03-31,97794.01089224977,782026020338.3136,2.0129645697677206e+19,1.8013330908664515e+34
2019-06-30,98285.22386645772,782027548968.7123,2.0129645704010256e+19,1.8013330908664515e+34
2019-09-30,99877.87094043138,782032504779.0239,2.0129645724541972e+19,1.8013330908664517e+34
2019-12-31,98596.20487157023,782028516249.3461,2.012964570801766e+19,1.8013330908664515e+34
2020-03-31,100417.8757630505,782034185717.9657,2.0129645731506033e+19,1.8013330908664517e+34
2020-06-30,101102.70239398816,782036317046.3538,2.0129645740336038e+19,1.8013330908664517e+34
2020-09-30,100772.11321338323,782035289154.3937,2.0129645736077525e+19,1.8013330908664517e+34
2020-12-31,100927.92131488284,782035773744.237,2.0129645738085163e+19,1.8013330908664517e+34
2021-03-31,98582.81758034867,782028478123.0444,2.012964570785971e+19,1.8013330908664515e+34
2021-06-30,99058.93728970153,782029959169.7521,2.012964571399562e+19,1.8013330908664517e+34
2021-09-30,98240.40855611685,782027410294.3188,2.0129645703435735e+19,1.8013330908664515e+34
2021-12-31,98438.46583866292,782028023600.7388,2.0129645705976635e+19,1.8013330908664515e+34
2022-03-31,95929.98381364255,782020215517.2333,2.0129645673628066e+19,1.8013330908664515e+34
2022-06-30,93215.55925783674,782011769019.3977,2.0129645638634578e+19,1.8013330908664515e+34
2022-09-30,86564.06035161763,781991056254.253,2.012964555282244e+19,1.8013330908664515e+34
2022-12-31,87398.64573960731,781993660175.6456,2.0129645563610382e+19,1.8013330908664515e+34
2023-03-31,88155.1553629107,781996014715.4962,2.0129645573365146e+19,1.8013330908664515e+34
2023-06-30,84875.48306124583,781985799645.4664,2.0129645531044524e+19,1.8013330908664515e+34
2023-09-30,84182.84287680106,781983649474.2043,2.0129645522136465e+19,1.8013330908664515e+34
2023-12-31,87300.97712036676,781993356683.847,2.0129645562353033e+19,1.8013330908664515e+34
2024-03-31,86119.4193025237,781989678739.0471,2.012964554711546e+19,1.8013330908664515e+34
2024-06-30,85278.76141992815,781987062485.5734,2.012964553627643e+19,1.8013330908664515e+34
2024-09-30,85819.50370633528,781988746912.529,2.012964554325494e+19,1.8013330908664515e+34
2024-12-31,83713.41282271777,781982192807.9036,2.012964551610156e+19,1.8013330908664515e+34
2025-03-31,83441.0023364049,781981347246.0491,2.0129645512598434e+19,1.8013330908664515e+34
2025-06-30,83902.24863897062,781982785868.2694,2.0129645518558585e+19,1.8013330908664515e+34
2025-09-30,83066.28118188147,781980184472.0327,2.012964550778111e+19,1.801333090866451e+34
2025-12-31,84107.37835465472,781983424287.9685,2.0129645521203536e+19,1.8013330908664515e+34
2026-03-31,82434.35128116896,781978214684.3547,2.012964549962036e+19,1.801333090866451e+34
