date,ZC0.25,ZC0.5,ZC1,ZC2,ZC3,ZC4,ZC5,ZC7,ZC10,ZC15,ZC20,ZC25
1994-07-20,,,0.048799999999999996,,,,,,,,,
1994-07-21,,,0.0492,,,,,,,,,
1994-07-22,,,0.0496,,,,,,,,,
1994-07-25,,,0.05,,,,,,,,,
1994-07-26,,,0.0509,,,,,,,,,
1994-07-27,,,0.0506,,,,,,,,,
1994-07-28,,,0.050199999999999995,,,,,,,,,
1994-07-29,,,0.05,,,,,,,,,
1994-08-01,,,0.05,,,,,,,,,
1994-08-02,,,0.05,,,,,,,,,
1994-08-03,,,0.05,,,,,,,,,
1994-08-04,,,0.050300000000000004,,,,,,,,,
1994-08-05,,,0.0506,,,,,,,,,
1994-08-08,,,0.0508,,,,,,,,,
1994-08-09,,,0.0512,,,,,,,,,
1994-08-10,,,0.0512,,,,,,,,,
1994-08-11,,,0.051500000000000004,,,,,,,,,
1994-08-12,,,0.052199999999999996,,,,,,,,,
1994-08-15,,,0.052199999999999996,,,,,,,,,
1994-08-16,,,0.052300000000000006,,,,,,,,,
1994-08-17,,,0.0513,,,,,,,,,
1994-08-18,,,0.052300000000000006,,,,,,,,,
1994-08-19,,,0.0525,,,,,,,,,
1994-08-22,,,0.0521,,,,,,,,,
1994-08-23,,,0.053099999999999994,,,,,,,,,
1994-08-24,,,0.053099999999999994,,,,,,,,,
1994-08-25,,,0.053099999999999994,,,,,,,,,
1994-08-26,,,0.0527,,,,,,,,,
1994-08-29,,,0.0527,,,,,,,,,
1994-08-30,,,0.0527,,,,,,,,,
1994-08-31,,,0.0526,,,,,,,,,
1994-09-01,,,0.0529,,,,,,,,,
1994-09-02,,,0.0518,,,,,,,,,
1994-09-05,,,0.0537,,,,,,,,,
1994-09-06,,,0.0518,,,,,,,,,
1994-09-07,,,0.054400000000000004,,,,,,,,,
1994-09-08,,,0.053099999999999994,,,,,,,,,
1994-09-09,,,0.054000000000000006,,,,,,,,,
1994-09-12,,,0.0525,,,,,,,,,
1994-09-13,,,0.054299999999999994,,,,,,,,,
1994-09-14,,,0.055,,,,,,,,,
1994-09-15,,,0.0553,,,,,,,,,
1994-09-16,,,0.0554,,,,,,,,,
1994-09-19,,,0.0556,,,,,,,,,
1994-09-20,,,0.0562,,,,,,,,,
1994-09-21,,,0.0558,,,,,,,,,
1994-09-22,,,0.0562,,,,,,,,,
1994-09-23,,,0.055,,,,,,,,,
