date,ZC0.25,ZC0.5,ZC1,ZC2,ZC3,ZC4,ZC5,ZC7,ZC10,ZC15,ZC20,ZC25
1975-06-06,0.0969,,,,,,,,,,,
1975-06-09,0.09720000000000001,,,,,,,,,,,
1975-06-10,0.0966,,,,,,,,,,,
1975-06-11,0.0966,,,,,,,,,,,
1975-06-12,0.0969,,,,,,,,,,,
1975-06-13,0.0981,,,,,,,,,,,
1975-06-16,0.09630000000000001,,,,,,,,,,,
1975-06-17,0.0959,,,,,,,,,,,
1975-06-18,0.095,,,,,,,,,,,
1975-06-19,0.0956,,,,,,,,,,,
1975-06-20,0.0959,,,,,,,,,,,
1975-06-23,0.0966,,,,,,,,,,,
1975-06-24,0.0969,,,,,,,,,,,
1975-06-25,0.09630000000000001,,,,,,,,,,,
1975-06-26,0.09720000000000001,,,,,,,,,,,
1975-06-27,0.0975,,,,,,,,,,,
1975-06-30,0.0975,,,,,,,,,,,
1975-07-01,0.0975,,,,,,,,,,,
1975-07-02,0.0969,,,,,,,,,,,
1975-07-03,0.09720000000000001,,,,,,,,,,,
1975-07-04,0.09720000000000001,,,,,,,,,,,
1975-07-07,0.0969,,,,,,,,,,,
1975-07-08,0.0969,,,,,,,,,,,
1975-07-09,0.0969,,,,,,,,,,,
1975-07-10,0.0966,,,,,,,,,,,
1975-07-11,0.0966,,,,,,,,,,,
1975-07-14,0.09630000000000001,,,,,,,,,,,
1975-07-15,0.0956,,,,,,,,,,,
1975-07-16,0.0959,,,,,,,,,,,
1975-07-17,0.0959,,,,,,,,,,,
1975-07-18,0.0959,,,,,,,,,,,
1975-07-21,0.0966,,,,,,,,,,,
1975-07-22,0.1013,,,,,,,,,,,
1975-07-23,0.105,,,,,,,,,,,
1975-07-24,0.1056,,,,,,,,,,,
1975-07-25,0.1056,,,,,,,,,,,
1975-07-28,0.1038,,,,,,,,,,,
1975-07-29,0.10439999999999999,,,,,,,,,,,
1975-07-30,0.1038,,,,,,,,,,,
1975-07-31,0.105,,,,,,,,,,,
1975-08-01,0.10439999999999999,,,,,,,,,,,
1975-08-04,0.1041,,,,,,,,,,,
1975-08-05,0.1041,,,,,,,,,,,
1975-08-06,0.105,,,,,,,,,,,
1975-08-07,0.1063,,,,,,,,,,,
1975-08-08,0.1072,,,,,,,,,,,
1975-08-11,0.1066,,,,,,,,,,,
1975-08-12,0.1059,,,,,,,,,,,
1975-08-13,0.1059,,,,,,,,,,,
1975-08-14,0.1059,,,,,,,,,,,
1975-08-15,0.1059,,,,,,,,,,,
1975-08-18,0.105,,,,,,,,,,,
1975-08-19,0.105,,,,,,,,,,,
1975-08-20,0.105,,,,,,,,,,,
1975-08-21,0.105,,,,,,,,,,,
1975-08-22,0.105,,,,,,,,,,,
1975-08-25,0.105,,,,,,,,,,,
1975-08-26,0.105,,,,,,,,,,,
1975-08-27,0.1047,,,,,,,,,,,
1975-08-28,0.1047,,,,,,,,,,,
1975-08-29,0.1047,,,,,,,,,,,
1975-09-01,0.1047,,,,,,,,,,,
1975-09-02,0.1047,,,,,,,,,,,
1975-09-03,0.1047,,,,,,,,,,,
1975-09-04,0.1036,,,,,,,,,,,
1975-09-05,0.1036,,,,,,,,,,,
1975-09-08,0.1036,,,,,,,,,,,
1975-09-09,0.1036,,,,,,,,,,,
1975-09-10,0.1036,,,,,,,,,,,
1975-09-11,0.1042,,,,,,,,,,,
1975-09-12,0.1042,,,,,,,,,,,
1975-09-15,0.1042,,,,,,,,,,,
1975-09-16,0.1045,,,,,,,,,,,
1975-09-17,0.1041,,,,,,,,,,,
